bin,fhit,ebin,cut,mc,rd
0,0,2.5,0,0,0
1,0,2.75,0,0,0
2,0,3,0,0,0
3,0,3.25,0,0,0
4,0,3.5,0,0,0
5,0,3.75,0,0,0
6,0,4,0,0,0
7,0,4.25,0,0,0
8,0,4.5,0,0,0
9,0,4.75,0,0,0
10,0,5,0,0,0
11,0,5.25,0,0,0
12,0.067,2.5,0,0,0
13,0.067,2.75,15.6,15.91,15.7
14,0.067,3,9.81,9.7,8.44
15,0.067,3.25,0,0,0
16,0.067,3.5,0,0,0
17,0.067,3.75,0,0,0
18,0.067,4,3.88,3.21,0
19,0.067,4.25,0,0,0
20,0.067,4.5,0,0,0
21,0.067,4.75,0,0,0
22,0.067,5,0,0,0
23,0.067,5.25,0,0,0
24,0.105,2.5,0,0,0
25,0.105,2.75,20.2,21.53,21.43
26,0.105,3,22.63,24.94,24.15
27,0.105,3.25,9.39,9.96,10.45
28,0.105,3.5,0,4.18,0
29,0.105,3.75,0,0,0
30,0.105,4,0,0,0
31,0.105,4.25,0,0,0
32,0.105,4.5,0,0,0
33,0.105,4.75,0,0,0
34,0.105,5,0,0,0
35,0.105,5.25,0,0,0
36,0.162,2.5,0,0,1.27
37,0.162,2.75,9.87,10.64,9.66
38,0.162,3,34.49,37.95,36.35
39,0.162,3.25,33.91,37.29,35.09
40,0.162,3.5,10.79,12.37,11.5
41,0.162,3.75,0,0,0
42,0.162,4,0,0,0
43,0.162,4.25,0,0,0
44,0.162,4.5,0,0,0
45,0.162,4.75,0,0,0
46,0.162,5,0,0,0
47,0.162,5.25,0,0,0
48,0.247,2.5,0,0,0
49,0.247,2.75,0,0,0
50,0.247,3,15.93,17.72,17.28
51,0.247,3.25,42.5,47.89,46.04
52,0.247,3.5,34.71,39.38,36.87
53,0.247,3.75,10.86,12.98,12.69
54,0.247,4,0,0,4.01
55,0.247,4.25,0,0,0
56,0.247,4.5,0,0,0
57,0.247,4.75,0,0,0
58,0.247,5,0,0,0
59,0.247,5.25,0,0,0
60,0.356,2.5,0,0,0
61,0.356,2.75,0,0,0
62,0.356,3,0,0,0
63,0.356,3.25,17.51,19.93,16.84
64,0.356,3.5,44.59,47.17,46.63
65,0.356,3.75,30.07,35.42,34.54
66,0.356,4,8.32,10.31,7.74
67,0.356,4.25,0,0,0
68,0.356,4.5,0,0,0
69,0.356,4.75,0,0,0
70,0.356,5,0,0,0
71,0.356,5.25,0,0,0
72,0.485,2.5,0,0,0
73,0.485,2.75,0,0,0
74,0.485,3,0,0,0
75,0.485,3.25,0,0,3.04
76,0.485,3.5,22.24,22.45,21.6
77,0.485,3.75,37.34,38.86,36.62
78,0.485,4,23.51,22.36,23.23
79,0.485,4.25,7.89,7.51,5.77
80,0.485,4.5,0,0,0
81,0.485,4.75,0,0,0
82,0.485,5,0,0,0
83,0.485,5.25,0,0,0
84,0.618,2.5,0,0,0
85,0.618,2.75,0,0,0
86,0.618,3,0,0,0
87,0.618,3.25,0,0,0
88,0.618,3.5,0,0,0
89,0.618,3.75,20.86,20.06,20.94
90,0.618,4,27,28.11,17.07
91,0.618,4.25,17.67,18.21,12.32
92,0.618,4.5,4.74,4.65,4.12
93,0.618,4.75,0,0,0
94,0.618,5,0,0,0
95,0.618,5.25,0,0,0
96,0.74,2.5,0,0,0
97,0.74,2.75,0,0,0
98,0.74,3,0,0,0
99,0.74,3.25,0,0,0
100,0.74,3.5,0,0,0
101,0.74,3.75,0,0,0
102,0.74,4,17.12,18.31,16.89
103,0.74,4.25,16.69,17.38,14.83
104,0.74,4.5,0,0,0
105,0.74,4.75,0,0,2.6
106,0.74,5,0,0,0
107,0.74,5.25,0,0,0
108,0.84,2.5,0,0,0
109,0.84,2.75,0,0,0
110,0.84,3,0,0,0
111,0.84,3.25,0,0,0
112,0.84,3.5,0,0,0
113,0.84,3.75,0,0,0
114,0.84,4,0,0,0
115,0.84,4.25,14.9,16.09,11.01
116,0.84,4.5,15,15.09,9.78
117,0.84,4.75,8.5,8.8,6.29
118,0.84,5,3.88,3.21,0
119,0.84,5.25,0,0,0
